category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,9/35,12/106,0.75,2.27142857142857,3.26827175120679,0.00205481957197794,0.0431512110115366,0.0431512110115366,3101/80201/5106/5105/3099/8789/2203/2645/5313,9
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,7/35,10/106,0.7,2.12,2.60064997292795,0.0140651128687793,0.0738418425610912,0.0738418425610912,130/124/222/127/126/221/125,7
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,7/35,10/106,0.7,2.12,2.60064997292795,0.0140651128687793,0.0738418425610912,0.0738418425610912,130/124/222/127/126/221/125,7
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,7/35,10/106,0.7,2.12,2.60064997292795,0.0140651128687793,0.0738418425610912,0.0738418425610912,130/124/222/127/126/221/125,7
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,8/35,13/106,0.615384615384615,1.86373626373626,2.32332974673892,0.0242958269675512,0.102042473263715,0.102042473263715,3101/80201/230/3099/8789/226/229/2203,8
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,26/35,64/106,0.40625,1.23035714285714,2.04581577201815,0.0312205775412107,0.109272021394237,0.109272021394237,3101/130/80201/3948/5224/5106/124/2026/2597/230/222/5105/3099/130589/127/8789/126/226/84532/160287/229/2203/2645/5313/221/125,26
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,10/35,22/106,0.454545454545455,1.37662337662338,1.38668707451225,0.128158018983418,0.384474056950254,0.384474056950254,3101/80201/3948/2026/2597/230/3099/226/160287/229,10
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,12/35,30/106,0.4,1.21142857142857,0.955689916865258,0.230944649914731,0.606229706026169,0.606229706026169,132158/8277/414328/230/9104/7086/64080/8789/226/229/2203/2539,12
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,9/35,22/106,0.409090909090909,1.23896103896104,0.879829040380188,0.261486123628992,0.610134288467647,0.610134288467647,3101/80201/3948/5224/3418/3099/160287/2539/2645,9
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,12/35,32/106,0.375,1.13571428571429,0.64207268104965,0.334323589369023,0.611670627981459,0.611670627981459,5091/130/3948/5106/124/5105/127/126/84532/160287/5313/125,12
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,5/35,12/106,0.416666666666667,1.26190476190476,0.67323949931226,0.354025748065632,0.611670627981459,0.611670627981459,130/124/127/126/125,5
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,5/35,12/106,0.416666666666667,1.26190476190476,0.67323949931226,0.354025748065632,0.611670627981459,0.611670627981459,130/124/127/126/125,5
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,8/35,21/106,0.380952380952381,1.15374149659864,0.549782341075887,0.378653245893284,0.611670627981459,0.611670627981459,3948/5224/5106/5105/8789/160287/2203/2645,8
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,4/35,10/106,0.4,1.21142857142857,0.490939025501705,0.431687738093745,0.612502348440571,0.612502348440571,3101/80201/3099/2645,4
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,5/35,13/106,0.384615384615385,1.16483516483516,0.443383539453992,0.437501677457551,0.612502348440571,0.612502348440571,3101/80201/3099/130589/2645,5
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,11/35,36/106,0.305555555555556,0.925396825396825,-0.384909859926031,0.72538541979688,0.952068363483406,0.952068363483406,5091/5224/8277/2026/2597/230/3418/7086/226/229/5313,11
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,3/35,11/106,0.272727272727273,0.825974025974026,-0.426037777530679,0.773256675717388,0.955199422945008,0.955199422945008,3948/84532/160287,3
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,22/35,72/106,0.305555555555556,0.925396825396825,-0.781058558427538,0.842804062040365,0.983271405713759,0.983271405713759,3101/5091/80201/132158/5224/8277/414328/2026/2597/230/9104/3418/7086/3099/8789/226/84532/229/2203/2539/2645/5313,22
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),4/35,29/106,0.137931034482759,0.417733990147783,-2.57083718119506,0.998493229443703,1,1,5091/5106/5105/3418,4
Metabolism,Global and overview maps,hsa01210,2-Oxocarboxylic acid metabolism,1/35,15/106,0.0666666666666667,0.201904761904762,-2.33119793797805,0.998589149813206,1,1,3418,1
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,35/35,106/106,0.330188679245283,1,,1,1,1,3101/5091/130/80201/3948/132158/5224/5106/124/8277/414328/2026/2597/230/9104/222/5105/3418/7086/64080/3099/130589/127/8789/126/226/84532/160287/229/2203/2539/2645/5313/221/125,35
