category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,6/26,10/106,0.6,2.44615384615385,2.72656095024201,0.0132909724669406,0.0930368072685841,0.0930368072685841,222/125/124/127/126/130,6
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,6/26,10/106,0.6,2.44615384615385,2.72656095024201,0.0132909724669406,0.0930368072685841,0.0930368072685841,222/125/124/127/126/130,6
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,6/26,10/106,0.6,2.44615384615385,2.72656095024201,0.0132909724669406,0.0930368072685841,0.0930368072685841,222/125/124/127/126/130,6
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,12/26,32/106,0.375,1.52884615384615,2.03153734174245,0.0384067869749269,0.167448782826754,0.167448782826754,125/5105/124/160287/127/126/130/5313/5091/84532/3948/5106,12
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,6/26,12/106,0.5,2.03846153846154,2.16747173343067,0.0398687578158937,0.167448782826754,0.167448782826754,5105/2203/8789/2645/5313/5106,6
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,8/26,21/106,0.380952380952381,1.55311355311355,1.60601950253848,0.0943622395920269,0.290110510670137,0.290110510670137,5105/2203/160287/8789/2645/3948/5106/5224,8
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,19/26,64/106,0.296875,1.21033653846154,1.51675834905336,0.0967035035567122,0.290110510670137,0.290110510670137,222/230/125/5105/2203/124/229/160287/127/8789/126/130/2645/5313/130589/84532/3948/5106/5224,19
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,5/26,12/106,0.416666666666667,1.69871794871795,1.45836061076508,0.134818581270131,0.314576689630305,0.314576689630305,125/124/127/126/130,5
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,5/26,12/106,0.416666666666667,1.69871794871795,1.45836061076508,0.134818581270131,0.314576689630305,0.314576689630305,125/124/127/126/130,5
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,9/26,30/106,0.3,1.22307692307692,0.818737734401434,0.279682174166988,0.587332565750675,0.587332565750675,230/414328/2203/8277/229/64080/8789/9104/132158,9
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,4/26,13/106,0.307692307692308,1.25443786982249,0.555710090699743,0.398765775458982,0.761280116785329,0.761280116785328,230/2203/229/8789,4
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,3/26,11/106,0.272727272727273,1.11188811188811,0.222410258644995,0.537205987731948,0.940110478530908,0.940110478530908,160287/84532/3948,3
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,5/26,22/106,0.227272727272727,0.926573426573426,-0.219513527626861,0.68272456009064,1,1,3418/160287/2645/3948/5224,5
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,4/26,22/106,0.181818181818182,0.741258741258741,-0.773523859256559,0.855304835229523,1,1,230/229/160287/3948,4
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,7/26,36/106,0.194444444444444,0.792735042735043,-0.868289284772813,0.867442399219311,1,1,230/3418/8277/229/5313/5091/5224,7
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,2/26,13/106,0.153846153846154,0.627218934911243,-0.81417990032753,0.881763141885193,1,1,2645/130589,2
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,1/26,10/106,0.1,0.407692307692308,-1.11672975089699,0.948310490813439,1,1,2645,1
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),4/26,29/106,0.137931034482759,0.562334217506631,-1.56903474356854,0.971114812681149,1,1,3418/5105/5091/5106,4
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,14/26,72/106,0.194444444444444,0.792735042735043,-1.7619314225753,0.976279096997158,1,1,230/414328/3418/2203/8277/229/8789/2645/5313/5091/9104/84532/132158/5224,14
Metabolism,Global and overview maps,hsa01210,2-Oxocarboxylic acid metabolism,1/26,15/106,0.0666666666666667,0.271794871794872,-1.72709010670735,0.989765097207246,1,1,3418,1
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,26/26,106/106,0.245283018867925,1,,1,1,1,222/230/125/414328/3418/5105/2203/124/8277/229/160287/64080/127/8789/126/130/2645/5313/130589/5091/9104/84532/3948/132158/5106/5224,26
